"Radius","","PutMask(double, double, int)","qlrps(double, double, double, int, double, double, prop_type&)","GetMask(double, double)","ReadBearing(char*)","hzns2(double*, prop_type&, propa_type&)","WritePPMSS(char*, unsigned char, unsigned char, unsigned char, site*, unsigned char)","z1sq2(double*, double const&, double const&, double&, double&)","fht(double const&, double const&)","haat(site)","ElevationAngle(site, site)","ascat(double, prop_type&, propa_type&)","LoadSignalColors(site)","saalos(double, prop_type&, propa_type&)","dec2dms(double)","lrprop(double, prop_type&, propa_type&)","lrprop2(double, prop_type&, propa_type&)","aknfe(double const&)","OrMask(double, double, int)","point_to_point_ITM(double*, double, double, double, double, double, double, int, int, double, double, double&, char*, int&)","GetSignal(double, double)","AverageTerrain(site, double, double, double)","LoadPAT(char*)","ahd(double)","PlaceMarker(site)","adiff(double, prop_type&, propa_type&)","h0f(double, double)","LoadQTH(char*)","Azimuth(site, site)","PutSignal(double, double, unsigned char)","AddElevation(double, double, double)","d1thx2(double*, double const&, double const&, propa_type&)","avar(double, double, double, prop_type&, propv_type&)","ReadLRParm(site, char)","Distance(site, site)","z1sq1(double*, double const&, double const&, double&, double&)","LoadSDF_SDF(char*)","FORTRAN_DIM(double const&, double const&)","qlrpfl(double*, int, int, prop_type&, propa_type&, propv_type&)","qlrpfl2(double*, int, int, prop_type&, propa_type&, propv_type&)","abq_alos(std::complex<double>)","LoadSDF(char*)","qtile(int const&, double*, int const&)","GetElevation(site)","curve(double const&, double const&, double const&, double const&, double const&, double const&)","PlotLRPath(site, site, unsigned char, _IO_FILE*)","ReadPath(site, site)","PlotPath(site, site, char)","adiff2(double, prop_type&, propa_type&)","point_to_point(double*, double, double, double, double, double, double, int, int, double, double, double&, char*, int&)","SiteReport(site)","PlotLRMap(site, double, char*)","arccos(double, double)","qerfi(double)","LoadSDF_BZ(char*)","alos(double, prop_type&, propa_type&)","hzns(double*, prop_type&)","interpolate(int, int, int, int, int)","alos2(double, prop_type&, propa_type&)","d1thx(double*, double const&, double const&)","LoadTopoData(int, int, int, int)",
56,,2.18,1.17,0.23,0.00,570.77,12.80,155.28,1.27,0.00,,0.91,0.00,39.93,0.04,0.03,4.13,1.15,10.79,0.02,3.56,0.00,0.00,0.15,0.00,0.05,0.38,0.00,1.28,1.61,,645.95,11.44,0.00,0.01,0.04,0.87,0.04,0.01,1.50,0.05,0.05,1214.37,24.66,3.71,5.37,16.82,,36.24,86.70,0.00,0.02,1.03,2.74,0.00,0.01,0.02,0.23,0.15,0.01,0.00,
57,,2.11,1.25,0.20,0.00,599.04,13.16,168.89,1.61,0.00,,0.96,0.00,41.28,0.01,0.02,4.43,1.28,11.27,0.01,3.91,0.00,0.00,0.12,0.00,0.07,0.42,0.00,1.38,1.89,,685.86,11.39,0.00,0.01,0.04,0.73,0.08,0.01,1.61,0.03,0.05,1282.34,25.02,4.22,5.88,16.59,,37.53,91.52,0.00,0.00,0.92,3.08,0.00,0.01,0.02,0.25,0.13,0.01,0.00,
58,,2.19,1.05,0.27,0.00,630.02,13.00,177.47,1.42,0.00,0.01,1.24,0.00,44.32,0.01,0.01,4.27,1.15,11.58,0.04,3.69,0.00,0.00,0.05,0.00,0.05,0.38,0.00,1.50,1.86,,716.22,10.86,0.00,0.01,0.05,0.74,0.05,0.01,1.59,0.03,0.04,1351.55,23.88,4.11,5.87,16.77,,38.74,96.44,0.00,0.03,0.82,3.10,0.00,0.02,0.02,0.19,0.15,0.01,0.00,
59,,2.40,1.31,0.19,0.00,660.55,12.74,185.52,1.33,0.00,,1.11,0.00,45.30,0.02,,4.45,1.22,12.02,0.02,3.56,0.00,0.01,0.14,0.00,0.06,0.49,0.00,1.28,1.98,0.01,752.01,11.87,0.00,0.01,0.03,0.65,0.05,0.01,1.66,0.03,0.05,1428.40,24.69,4.05,5.96,17.20,,40.46,100.14,0.00,0.02,0.79,3.14,0.00,0.01,0.01,0.24,0.12,0.01,0.00,
60,,2.73,1.23,0.34,0.00,696.14,13.33,196.16,1.58,0.00,,1.39,0.00,47.66,0.02,0.02,4.53,1.48,12.85,0.04,4.06,0.00,0.00,0.25,0.00,0.07,0.55,0.00,1.47,2.16,,793.13,11.54,0.00,0.04,0.04,0.93,0.07,0.01,1.95,0.02,0.05,1503.08,24.01,4.37,5.92,16.17,,41.75,107.68,0.00,0.00,1.03,3.23,0.00,,0.02,0.15,0.21,0.01,0.00,
61,,3.12,1.59,0.20,0.00,729.64,13.10,205.29,1.57,0.00,,1.37,0.00,47.96,0.05,0.04,4.71,1.59,12.16,0.01,3.94,0.00,0.01,0.19,0.00,0.07,0.47,0.00,1.58,2.32,,835.08,13.04,0.00,0.05,0.05,0.82,0.04,0.01,1.94,0.05,0.04,1588.16,24.60,4.83,6.08,15.73,,42.58,111.49,0.00,0.00,1.05,3.26,0.00,,0.01,0.22,0.16,0.02,0.00,
62,,2.56,1.52,0.17,0.00,769.79,13.59,213.38,2.18,0.00,,1.38,0.00,51.15,0.01,0.02,5.25,1.46,12.95,0.04,5.13,0.00,0.00,0.22,0.00,0.08,0.57,0.00,1.44,2.19,,872.76,12.82,0.00,0.05,0.02,0.81,0.08,0.01,1.86,0.05,0.05,1675.39,24.36,5.05,6.82,16.55,,45.10,116.90,0.00,0.01,1.02,3.72,0.00,,0.03,0.28,0.12,0.01,0.00,
63,,2.47,1.65,0.25,0.00,807.35,20.67,226.27,1.78,0.00,,1.54,0.00,53.30,0.05,0.06,5.13,1.61,15.93,0.02,5.07,0.00,0.00,0.11,0.00,0.08,0.55,0.00,1.47,2.62,0.02,914.57,13.64,0.00,0.05,0.05,1.07,0.03,0.02,2.18,0.05,0.13,1766.96,39.72,4.89,7.27,21.29,,44.26,121.35,0.00,0.01,1.32,3.78,0.00,0.02,0.01,0.25,0.13,0.01,0.00,
64,,3.13,1.38,0.28,0.00,848.99,21.40,237.63,1.81,0.00,0.01,1.71,0.00,54.02,0.03,0.02,5.30,1.59,16.56,0.01,5.21,0.00,0.00,0.20,0.00,0.07,0.65,0.00,1.68,2.65,,964.09,13.78,0.00,0.08,0.02,1.07,0.06,0.02,1.93,0.02,0.13,1861.14,39.35,4.77,7.63,21.91,,46.33,127.84,0.00,0.01,1.09,4.03,0.00,0.01,,0.41,0.17,0.01,0.00,
65,,3.02,1.43,0.17,0.00,886.52,20.10,247.07,1.57,0.00,,1.67,0.00,55.07,0.03,0.03,5.16,1.50,16.97,0.03,5.51,0.00,0.00,0.19,0.00,0.06,0.60,0.00,1.90,2.50,,1004.51,13.98,0.00,0.04,0.05,1.02,0.05,0.02,2.06,0.03,0.13,1950.94,39.69,5.43,7.79,21.77,,48.85,134.08,0.00,0.00,1.28,3.71,0.00,0.02,0.02,0.25,0.22,0.02,0.00,
66,,3.51,1.62,0.28,0.00,930.29,20.72,259.40,1.86,0.00,,1.68,0.00,58.68,0.06,0.09,5.64,1.69,17.57,0.02,5.25,0.00,0.00,0.18,0.00,0.07,0.68,0.00,1.96,2.75,,1056.51,15.75,0.00,0.05,0.07,1.06,0.07,0.02,2.12,0.02,0.13,2052.94,40.26,5.24,7.58,22.09,,48.68,140.98,0.00,0.03,1.41,4.22,0.00,0.01,0.01,0.30,0.28,0.02,0.00,
67,,3.11,1.49,0.29,0.00,970.73,21.37,272.27,2.08,0.00,,2.24,0.00,59.52,0.03,0.02,5.23,1.72,18.23,0.04,5.88,0.00,0.00,0.35,0.00,0.05,0.75,0.00,1.99,2.36,,1110.50,14.88,0.00,0.08,0.04,0.98,0.06,0.02,2.09,0.04,0.14,2159.93,39.12,5.97,8.27,22.54,,53.22,147.43,0.00,0.01,1.37,4.21,0.00,0.02,0.01,0.33,0.19,0.01,0.00,
68,,3.21,1.58,0.40,0.00,1019.21,20.94,283.01,1.71,0.00,,1.76,0.00,60.32,0.03,0.03,6.08,1.77,18.20,0.05,5.89,0.00,0.00,0.24,0.00,0.08,0.84,0.00,1.87,2.83,,1156.05,14.79,0.00,0.04,0.06,1.05,0.05,0.01,2.38,0.02,0.14,2263.63,38.63,5.64,8.03,22.04,,53.84,155.41,0.00,0.01,1.20,4.68,0.00,0.01,0.01,0.29,0.13,0.03,0.00,
69,,3.81,1.69,0.26,0.00,1064.87,20.74,300.18,2.12,0.00,,1.93,0.00,62.78,0.03,0.05,5.91,1.85,18.47,0.03,5.97,0.00,0.00,0.28,0.00,0.10,0.73,0.00,1.87,3.07,,1208.80,16.52,0.00,0.07,0.04,0.92,0.11,0.02,2.65,0.03,0.13,2375.11,39.00,6.55,8.48,22.09,0.01,54.12,159.82,0.00,0.00,1.27,4.75,0.00,0.01,0.01,0.38,0.17,0.01,0.00,
70,,3.65,1.85,0.31,0.00,1112.24,20.52,308.72,2.38,0.00,,2.11,0.00,63.13,0.04,0.12,6.08,1.88,19.07,0.02,5.98,0.00,0.00,0.35,0.00,0.09,0.85,0.00,2.03,3.07,,1256.84,16.67,0.00,0.03,0.04,0.89,0.10,0.01,2.86,0.04,0.13,2506.17,41.12,5.96,9.03,22.61,,55.87,167.26,0.00,0.02,1.13,4.63,0.00,,0.01,0.38,0.11,0.01,0.00,
71,,3.91,1.78,0.28,0.00,1157.55,21.00,320.59,1.87,0.00,0.01,2.45,0.00,65.43,0.03,0.05,6.32,1.83,19.79,0.04,6.47,0.00,0.01,0.23,0.00,0.05,1.31,0.00,2.33,3.30,,1313.09,17.25,0.00,0.04,0.08,0.99,0.09,0.01,2.69,0.05,0.14,2625.47,40.65,5.93,8.99,22.12,,57.02,174.32,0.00,0.02,1.16,4.72,0.00,0.01,0.02,0.28,0.17,0.01,0.00,
72,,3.53,2.15,0.24,0.00,1208.69,21.06,333.17,2.21,0.00,,2.33,0.00,68.87,0.04,0.02,6.80,1.99,19.78,0.02,6.55,0.00,0.01,0.32,0.00,0.08,0.99,0.00,2.75,3.27,0.01,1392.39,18.03,0.00,0.02,0.06,0.85,0.08,,2.93,0.03,0.15,2738.12,40.23,6.39,9.37,21.81,,61.37,184.09,0.00,0.01,1.30,4.93,0.00,0.02,0.04,0.42,0.14,0.01,0.00,
73,,4.49,2.45,0.26,0.00,1258.95,20.73,348.84,2.20,0.00,,2.45,0.00,69.32,0.02,0.03,6.73,2.26,20.36,0.05,7.37,0.00,0.00,0.37,0.00,0.10,0.97,0.00,2.16,3.57,,1428.96,17.37,0.00,0.06,0.07,1.03,0.09,0.01,2.83,0.05,0.14,2872.43,39.60,6.58,8.94,22.17,,62.06,190.59,0.00,0.01,1.20,5.17,0.00,0.02,0.01,0.33,0.16,0.02,0.00,
74,,4.17,1.97,0.37,0.00,1307.89,21.52,363.59,2.30,0.00,,2.85,0.00,70.72,0.06,0.04,7.24,2.20,20.70,0.04,7.17,0.00,0.00,0.36,0.00,0.15,1.00,0.00,2.24,3.61,,1497.57,18.79,0.00,0.06,0.05,1.02,0.05,0.01,2.75,0.04,0.14,2994.35,40.01,6.30,9.59,22.47,,63.02,199.54,0.00,0.00,1.59,5.01,0.00,0.02,0.01,0.39,0.21,0.02,0.00,
75,,5.49,2.11,0.40,0.00,1361.82,33.26,378.49,2.34,0.00,,2.96,0.00,74.52,0.01,0.02,7.06,2.09,29.83,0.06,9.47,0.00,0.01,0.50,0.00,0.10,1.20,0.00,2.27,5.43,,1549.62,19.04,0.00,0.04,0.05,1.18,0.08,0.01,2.68,0.05,0.24,3142.63,66.90,6.86,10.06,30.60,,65.08,207.10,0.00,0.01,1.68,5.14,0.00,0.01,0.02,0.44,0.18,0.02,0.00,
76,,6.33,2.67,0.30,0.00,1419.26,34.34,412.59,2.38,0.00,,3.34,0.00,76.92,0.03,0.03,7.14,2.22,30.75,0.04,9.83,0.00,0.00,0.40,0.00,0.07,1.15,0.00,2.28,5.73,,1622.33,19.04,0.00,0.05,0.07,1.19,0.12,0.02,2.70,0.06,0.23,3273.42,67.36,6.92,10.25,29.06,,67.84,216.76,0.00,0.00,1.58,5.72,0.00,0.01,0.02,0.36,0.16,0.03,0.00,
77,,6.27,1.97,0.29,0.00,1475.49,33.62,408.73,2.69,0.00,,3.08,0.00,79.25,0.03,0.05,7.51,2.39,31.75,0.05,9.89,0.00,0.00,0.33,0.00,0.10,1.33,0.00,2.33,6.06,0.01,1676.28,20.67,0.00,0.05,0.07,1.13,0.11,0.02,3.16,0.06,0.23,3426.23,67.69,7.78,10.36,29.40,,68.20,221.97,0.00,0.01,1.58,5.58,0.00,0.01,0.03,0.58,0.18,0.02,0.00,
78,,10.30,2.27,0.51,0.00,1531.54,47.48,426.92,2.63,0.00,,3.52,0.00,78.91,0.08,0.10,7.80,2.24,49.59,0.04,14.21,0.00,0.00,0.45,0.00,0.10,1.49,0.00,2.79,9.29,0.01,1740.50,20.89,0.00,0.09,0.04,1.43,0.07,0.02,3.34,0.03,0.22,3580.86,97.23,7.49,11.72,34.94,,69.69,233.39,0.00,0.02,2.12,6.32,0.00,0.01,0.02,0.60,0.17,0.01,0.00,
79,,10.51,2.48,0.44,0.00,1591.25,47.32,437.60,2.63,0.00,,3.28,0.00,82.10,0.03,0.07,7.93,2.54,48.47,0.04,14.04,0.00,0.01,0.42,0.00,0.10,1.61,0.00,2.81,9.66,,1810.01,21.11,0.00,0.06,0.05,1.42,0.13,0.02,3.07,0.06,0.23,3101.47,98.00,7.51,11.71,35.90,,72.67,240.65,0.00,0.04,1.98,6.25,0.00,0.01,0.02,0.57,0.18,0.03,0.00,
80,,9.65,2.32,0.50,0.00,1648.89,48.60,454.57,2.56,0.00,,3.46,0.00,84.59,0.06,0.10,7.83,2.56,50.04,0.03,14.44,0.00,0.00,0.36,0.00,0.09,1.45,0.00,2.71,10.25,,1875.29,21.60,0.00,0.04,0.07,1.68,0.08,0.02,3.57,0.03,0.23,3287.64,96.93,7.95,11.93,36.60,,74.84,250.67,0.00,0.00,2.04,6.42,0.00,,0.03,0.61,0.15,0.01,0.00,
81,,11.38,2.27,0.44,0.00,1714.82,48.98,476.55,2.88,0.00,,4.05,0.00,85.02,0.09,0.07,8.04,2.37,50.76,0.05,15.66,0.00,0.00,0.51,0.00,0.11,1.57,0.00,3.00,10.90,,1951.00,24.02,0.00,0.06,0.07,1.57,0.10,0.02,3.26,0.06,0.23,3457.52,96.15,8.40,11.34,35.68,,77.03,258.99,0.00,0.01,2.07,6.08,0.00,0.01,0.02,0.54,0.26,0.05,0.00,
82,,10.84,2.72,0.56,0.00,1781.29,49.45,498.09,2.66,0.00,,3.76,0.00,88.24,0.04,0.01,8.26,2.68,53.75,0.05,16.08,0.00,0.01,0.59,0.00,0.13,1.75,0.00,2.77,10.95,0.01,1381.67,21.26,0.00,0.05,0.07,1.60,0.12,0.02,3.25,0.02,0.23,3644.52,97.65,8.26,11.95,35.93,,78.48,269.09,0.00,0.04,2.40,6.57,0.00,0.02,0.02,0.42,0.26,0.03,0.00,
83,,10.93,2.60,0.49,0.00,1844.49,47.78,513.82,2.81,0.00,,3.76,0.00,90.89,0.02,0.03,8.40,2.34,53.86,0.05,15.76,0.00,0.01,0.50,0.00,0.11,1.69,0.00,2.76,10.55,,1439.51,22.41,0.00,0.06,0.06,1.55,0.13,0.02,3.10,0.05,0.23,3174.28,95.71,8.21,12.25,36.18,,80.81,278.66,0.00,0.02,1.74,6.59,0.00,0.02,0.01,0.54,0.20,0.03,0.00,
84,,12.14,2.66,0.53,0.00,1913.72,49.65,528.17,3.82,0.00,,4.19,0.00,93.29,0.04,0.03,8.72,2.80,53.49,0.03,16.68,0.00,0.00,0.57,0.00,0.15,1.53,0.00,3.09,11.52,,1523.39,24.34,0.00,0.07,0.06,1.65,0.12,0.03,3.15,0.05,0.23,2725.25,97.14,9.12,12.13,36.53,,82.37,288.51,0.00,0.03,2.44,7.18,0.00,0.01,0.03,0.41,0.18,0.03,0.00,
85,,11.62,2.74,0.47,0.00,1979.68,48.39,552.17,3.22,0.00,,4.41,0.00,94.06,0.00,0.03,8.56,3.17,55.91,0.11,16.88,0.00,0.01,0.56,0.00,0.13,1.72,0.00,3.06,10.98,,1594.73,23.12,0.00,0.07,0.09,1.42,0.09,0.02,3.47,0.05,0.23,2265.75,97.05,8.35,12.74,36.51,,83.71,300.66,0.00,0.03,2.08,6.82,0.00,0.01,0.03,0.46,0.22,0.02,0.00,
86,,12.65,2.56,0.47,0.00,2047.05,50.03,572.51,3.17,0.00,,4.28,0.00,95.35,0.06,0.02,9.18,3.06,58.59,0.03,18.48,0.00,0.00,0.72,0.00,0.14,1.69,0.00,2.98,12.20,,1688.16,24.18,0.00,0.06,0.08,1.65,0.15,0.01,3.44,0.04,0.23,2481.57,97.57,8.98,13.19,37.44,0.01,87.58,308.66,0.00,0.05,1.81,7.39,0.00,0.01,0.03,0.56,0.16,0.02,0.00,
87,,12.52,2.68,0.49,0.00,2120.68,48.00,590.36,3.21,0.00,,4.63,0.00,99.73,0.01,0.04,9.29,2.98,58.27,0.03,18.19,0.00,0.00,0.72,0.00,0.18,1.95,0.00,3.16,12.05,,1759.05,24.50,0.00,0.13,0.07,1.65,0.16,0.04,3.33,0.04,0.23,2678.52,96.44,9.21,12.41,36.42,,86.91,323.50,0.00,0.01,1.91,7.11,0.00,0.02,0.02,0.31,0.26,0.02,0.00,
88,,12.30,2.91,0.56,0.00,2193.02,47.97,609.69,3.29,0.00,,4.76,0.00,100.65,0.03,0.04,9.79,3.04,58.74,0.11,19.69,0.00,0.00,0.69,0.00,0.14,2.27,0.00,3.33,12.36,,1849.62,25.12,0.00,0.06,0.08,1.60,0.10,0.03,3.60,0.08,0.23,2907.29,97.93,9.75,13.59,36.33,,91.60,331.99,0.00,0.00,1.99,7.55,0.00,0.02,0.03,0.38,0.30,0.02,0.00,
89,,12.96,2.81,0.57,0.00,2266.19,48.80,631.23,3.75,0.00,,5.26,0.00,103.32,0.05,0.04,10.31,3.11,59.09,0.07,19.18,0.00,0.00,0.57,0.00,0.11,1.74,0.00,3.31,12.05,,1936.53,26.01,0.00,0.09,0.06,1.39,0.14,0.03,3.87,0.04,0.23,3126.18,98.37,10.15,13.64,36.12,,92.90,346.18,0.00,0.02,2.06,7.36,0.00,0.02,0.02,0.52,0.34,0.01,0.00,
90,,14.30,2.93,0.63,0.00,2343.67,48.12,650.44,3.50,0.00,,5.22,0.00,106.81,0.07,0.13,10.45,3.04,61.44,0.05,19.44,0.00,0.00,0.55,0.00,0.14,2.23,0.00,3.53,13.46,,2026.28,27.55,0.00,0.05,0.11,1.58,0.17,0.04,3.93,0.07,0.23,3372.01,96.32,10.11,13.79,34.54,,93.24,355.75,0.00,0.00,2.05,7.46,0.00,0.02,0.03,0.45,0.17,0.01,0.00,
91,,13.93,3.08,0.45,0.00,2421.84,47.75,672.86,3.37,0.00,,5.60,0.00,106.90,0.06,0.14,10.31,3.24,63.37,0.12,20.59,0.00,0.00,0.66,0.00,0.14,2.20,0.00,3.24,14.52,,2114.91,30.13,0.00,0.06,0.12,1.53,0.14,0.01,4.31,0.08,0.24,3617.80,99.21,10.98,15.35,36.85,,95.17,371.09,0.00,0.02,2.06,8.28,0.00,0.03,0.01,0.50,0.23,0.02,0.00,
92,,14.71,3.21,0.48,0.00,2505.64,47.66,699.80,3.20,0.00,,5.29,0.00,110.55,0.00,0.10,10.15,3.38,63.85,0.11,19.48,0.00,0.00,0.68,0.00,0.17,2.46,0.00,3.06,13.58,0.01,2204.35,29.14,0.00,0.10,0.06,1.52,0.14,0.02,4.28,0.05,0.23,3855.32,95.98,10.71,14.65,36.28,,99.38,379.75,0.00,0.03,1.93,8.33,0.00,0.01,0.02,0.53,0.16,0.01,0.00,
93,,14.85,3.16,0.48,0.00,2586.86,49.79,722.17,3.29,0.00,,5.82,0.00,113.67,0.08,0.02,10.64,3.42,65.12,0.10,21.13,0.00,0.00,0.70,0.00,0.18,2.26,0.00,3.74,13.84,,2301.70,28.80,0.00,0.05,0.14,1.66,0.16,0.05,4.54,0.06,0.23,4143.36,95.06,10.41,15.37,37.14,,100.65,392.33,0.00,0.00,2.20,8.14,0.00,0.01,0.03,0.53,0.29,0.04,0.00,
94,,15.77,3.73,0.53,0.00,2668.01,49.44,745.34,3.85,0.00,,7.28,0.00,115.91,0.06,0.03,11.39,3.84,66.75,0.05,21.32,0.00,0.00,0.91,0.00,0.12,2.65,0.00,3.66,13.65,,2399.27,28.98,0.00,0.03,0.07,1.69,0.12,0.04,4.05,0.10,0.23,4381.72,97.37,10.89,15.00,36.77,,101.81,402.06,0.00,0.00,2.20,8.35,0.00,0.01,0.03,0.47,0.17,0.03,0.00,
95,,15.74,3.29,0.70,0.00,2757.08,49.45,764.27,4.01,0.00,,6.35,0.00,118.47,0.05,0.05,10.86,3.77,67.72,0.06,22.74,0.00,0.01,0.83,0.00,0.14,2.47,0.00,3.77,15.13,,2486.17,30.31,0.00,0.08,0.07,1.46,0.11,0.02,4.47,0.08,0.23,4678.41,98.55,11.70,15.10,36.95,,105.64,417.64,0.00,0.02,2.32,8.21,0.00,0.02,0.02,0.44,0.17,0.02,0.00,
96,,16.03,3.23,0.67,0.00,2835.99,49.22,791.39,3.89,0.00,,6.91,0.00,121.56,0.06,0.03,10.88,3.67,69.96,0.10,23.74,0.00,0.00,0.79,0.00,0.17,2.49,0.00,3.69,15.79,,2580.10,29.86,0.00,0.08,0.06,1.65,0.11,0.03,4.50,0.05,0.23,4932.74,98.88,11.55,16.62,36.41,,107.48,436.95,0.00,0.00,2.05,8.75,0.00,0.01,0.02,0.51,0.21,0.03,0.00,
97,,19.13,3.53,0.58,0.00,2923.29,74.44,814.49,3.89,0.00,,6.26,0.00,124.29,0.11,0.12,11.05,3.71,84.22,0.07,26.25,0.00,0.00,0.73,0.00,0.12,2.63,0.00,4.31,19.39,,2689.22,33.15,0.00,0.13,0.03,2.20,0.18,0.02,4.68,0.08,0.23,5223.80,141.17,11.81,17.13,44.79,,108.12,449.82,0.00,0.02,2.63,8.44,0.00,0.02,0.02,0.51,0.27,0.04,0.00,
98,,19.23,3.44,0.66,0.00,3014.88,76.15,839.84,3.84,0.00,,6.62,0.00,126.66,0.08,0.01,11.72,3.97,86.55,0.05,26.44,0.00,0.00,0.80,0.00,0.17,2.88,0.00,3.85,18.41,,2802.20,31.68,0.00,0.14,0.09,2.16,0.10,0.02,4.10,0.07,0.23,4185.85,140.93,11.93,16.38,45.72,,112.16,462.83,0.00,0.04,2.39,9.00,0.00,0.01,0.02,0.66,0.26,0.04,0.00,
99,,20.78,3.54,0.71,0.00,3110.57,76.84,870.98,4.42,0.00,,7.05,0.00,127.33,0.04,0.05,11.67,4.43,86.67,0.07,27.66,0.00,0.01,0.99,0.00,0.15,3.01,0.00,4.24,20.26,,2905.24,31.21,0.00,0.09,0.07,2.00,0.22,0.03,4.90,0.09,0.23,3818.50,143.48,12.84,17.63,45.39,,115.05,471.91,0.00,0.02,2.64,9.34,0.00,0.01,0.03,0.54,0.16,0.02,0.00,
100,,20.56,3.85,0.70,0.00,3192.63,75.87,887.36,4.25,0.00,,6.76,0.00,133.31,0.06,0.12,11.98,4.00,89.74,0.09,28.17,0.00,0.00,1.01,0.00,0.16,3.02,0.00,3.99,21.16,,3013.07,34.48,0.00,0.11,0.07,2.10,0.17,0.03,4.81,0.11,0.24,4142.43,144.19,12.87,17.44,45.29,,115.35,483.03,0.00,0.01,2.54,9.06,0.00,0.01,0.03,0.75,0.24,0.02,0.00,
